t,h
-0.699951171875,-6.977019974450753e-24
-0.69989013671875,-7.515364639930036e-24
-0.6998291015625,-8.032885507974206e-24
-0.69976806640625,-8.527977107060226e-24
-0.69970703125,-8.999416813326572e-24
-0.69964599609375,-9.445726995044243e-24
-0.6995849609375,-9.865820484211894e-24
-0.69952392578125,-1.0258362232968878e-23
-0.699462890625,-1.0622414504384686e-23
-0.69940185546875,-1.0956798002789058e-23
-0.6993408203125,-1.1260736741970063e-23
-0.69927978515625,-1.1533218614948135e-23
-0.69921875,-1.1773639912101058e-23
-0.69915771484375,-1.1981165298895076e-23
-0.6990966796875,-1.2155371952743236e-23
-0.69903564453125,-1.2295608927342667e-23
-0.698974609375,-1.2401640889838764e-23
-0.69891357421875,-1.247300684881211e-23
-0.6988525390625,-1.2509663473981623e-23
-0.69879150390625,-1.2511343179488472e-23
-0.69873046875,-1.2478197016501191e-23
-0.69866943359375,-1.2410152099883065e-23
-0.6986083984375,-1.2307554070857142e-23
-0.69854736328125,-1.2170523870438903e-23
-0.698486328125,-1.1999599771615305e-23
-0.69842529296875,-1.1795093500923434e-23
-0.6983642578125,-1.1557731852006158e-23
-0.69830322265625,-1.1288012168790908e-23
-0.6982421875,-1.0986843549949158e-23
-0.69818115234375,-1.0654901709589122e-23
-0.6981201171875,-1.0293269797324954e-23
-0.69805908203125,-9.902792658527575e-24
-0.697998046875,-9.484717290785136e-24
-0.69793701171875,-9.04004653384569e-24
-0.6978759765625,-8.570179197248912e-24
-0.69781494140625,-8.076263209818895e-24
-0.69775390625,-7.559835451247056e-24
-0.69769287109375,-7.022174403415283e-24
-0.6976318359375,-6.464939727814276e-24
-0.69757080078125,-5.889524456290961e-24
-0.697509765625,-5.2976943587423966e-24
-0.69744873046875,-4.690939724351581e-24
-0.6973876953125,-4.0711145661581844e-24
-0.69732666015625,-3.439788038114778e-24
-0.697265625,-2.798883530640154e-24
-0.69720458984375,-2.150029779407351e-24
-0.6971435546875,-1.4951999016822685e-24
-0.69708251953125,-8.360622494310497e-25
-0.697021484375,-1.7461944681186266e-25
-0.69696044921875,4.87440955386462e-25
-0.6968994140625,1.1481073889539605e-24
-0.69683837890625,1.8056937541976313e-24
